Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
JS,2025ohcl,qm,1,b3,3193,0,17.5,tc4
JS,2025ohcl,qm,1,b3,3193,1,12.4,tc4
JS,2025ohcl,qm,1,b3,3193,2,13.8,tc1
JS,2025ohcl,qm,1,b3,3193,3,19.6,tc4
JS,2025ohcl,qm,1,b3,3193,4,20.8,tc4
ML,2025ohcl,qm,1,b1,8243,0,20.5,tc3
ML,2025ohcl,qm,1,b1,8243,1,10,tc3
ML,2025ohcl,qm,1,b1,8243,2,12.8,tc3
ML,2025ohcl,qm,1,b1,8243,3,12.2,tc3
ML,2025ohcl,qm,1,b1,8243,4,11,tc2
ML,2025ohcl,qm,1,b1,8243,5,11.2,tc2
ML,2025ohcl,qm,1,b1,8243,6,14.4,tc2
ML,2025ohcl,qm,1,b1,8243,7,24.7,tc2
ACS,2025ohcl,qm,1,b2,4269,0,18.6,tap
ACS,2025ohcl,qm,1,b2,4269,1,15,tap
ACS,2025ohcl,qm,1,b2,4269,2,21.2,tc3
RV,2025ohcl,qm,1,r3,1308,0,60.1,tap
RV,2025ohcl,qm,1,r3,1308,1,26.3,tap
RV,2025ohcl,qm,1,r3,1308,2,19.1,tap
RV,2025ohcl,qm,1,r3,1308,3,16.7,tap
np,2025ohcl,qm,1,r1,677,0,42,tc1
np,2025ohcl,qm,1,r1,677,1,9,tc4
np,2025ohcl,qm,1,r1,677,2,3.7,tc1
np,2025ohcl,qm,1,r1,677,3,11.2,tc1
np,2025ohcl,qm,1,r1,677,4,19.3,tc1
np,2025ohcl,qm,1,r1,677,5,7.1,tc4
ACS,2025ohcl,qm,2,b2,695,0,4.2,tc4
ACS,2025ohcl,qm,2,b2,695,1,17.4,tc4
ACS,2025ohcl,qm,2,b2,695,2,6.5,tc4
ACS,2025ohcl,qm,2,b2,695,3,35.3,tc4
ACS,2025ohcl,qm,2,b2,695,4,11.1,tc4
ACS,2025ohcl,qm,2,b2,695,5,6.8,tc4
ACS,2025ohcl,qm,2,b2,695,6,13.3,tc4
ACS,2025ohcl,qm,2,b2,695,7,8.1,tc4
ACS,2025ohcl,qm,2,b2,695,8,16.4,tc3
ML,2025ohcl,qm,2,b1,1511,0,10.7,tan
ML,2025ohcl,qm,2,b1,1511,1,10.4,tan
ML,2025ohcl,qm,2,b1,1511,2,11.8,tan
ML,2025ohcl,qm,2,b1,1511,3,8,tc3
ML,2025ohcl,qm,2,b1,1511,4,8.3,tc3
ML,2025ohcl,qm,2,b1,1511,5,11.4,tc3
ML,2025ohcl,qm,2,b1,1511,6,34.7,tc3
JS,2025ohcl,qm,2,b3,9194,0,18.8,tap
JS,2025ohcl,qm,2,b3,9194,1,12.7,tap
JS,2025ohcl,qm,2,b3,9194,2,48.6,tc3
np,2025ohcl,qm,2,r1,2252,0,12.1,tc4
np,2025ohcl,qm,2,r1,2252,1,21.6,tc4
np,2025ohcl,qm,2,r1,2252,2,18.5,tc4
np,2025ohcl,qm,2,r1,2252,3,12.4,tc4
np,2025ohcl,qm,2,r1,2252,4,12.8,tc4
np,2025ohcl,qm,2,r1,2252,5,18.3,tc3
np,2025ohcl,qm,2,r1,2252,6,7.1,tc3
np,2025ohcl,qm,2,r1,2252,7,8.1,tc3
ACS,2025ohcl,qm,3,b2,2399,0,12.6,tc4
ACS,2025ohcl,qm,3,b2,2399,1,11.2,tc4
ACS,2025ohcl,qm,3,b2,2399,2,12,tc4
ACS,2025ohcl,qm,3,b2,2399,3,14.6,tc4
ACS,2025ohcl,qm,3,b2,2399,4,7.6,tc4
ACS,2025ohcl,qm,3,b2,2399,5,8.3,tc4
ACS,2025ohcl,qm,3,b2,2399,6,10,tc4
ACS,2025ohcl,qm,3,b2,2399,7,10.5,tc4
ACS,2025ohcl,qm,3,b2,2399,8,12.3,tc4
Ay,2025ohcl,qm,3,r2,291,0,1.3,tc1
Ay,2025ohcl,qm,3,r2,291,1,17.2,tc3
Ay,2025ohcl,qm,3,r2,291,2,17.6,tc3
Ay,2025ohcl,qm,3,r2,291,3,9.5,tc2
Ay,2025ohcl,qm,3,r2,291,4,12.7,tc3
Ay,2025ohcl,qm,3,r2,291,5,14.9,tc4
JS,2025ohcl,qm,3,b3,9139,0,,{}
np,2025ohcl,qm,3,r1,4050,0,59.1,tc4
