Jp,2025dal,qm,1,b3,4451
Polvi,2025dal,qm,1,b2,3256
DD,2025dal,qm,1,b1,9484
RV,2025dal,qm,1,r2,2056
ML,2025dal,qm,1,r1,4655
Polvi,2025dal,qm,2,b2,4607
Aas,2025dal,qm,2,b3,1796
DD,2025dal,qm,2,b1,4068
Jp,2025dal,qm,2,r3,7257
RV,2025dal,qm,2,r2,1671
ML,2025dal,qm,2,r1,6083
DD,2025dal,qm,3,b1,2724
RV,2025dal,qm,3,r2,6832
Jp,2025dal,qm,3,r3,1507
Aas,2025dal,qm,3,b3,3792
Polvi,2025dal,qm,3,b2,1425
ML,2025dal,qm,3,r1,4421
Polvi,2025dal,qm,4,b2,9199
ML,2025dal,qm,4,r1,6424
Aas,2025dal,qm,4,b3,6911
Jp,2025dal,qm,4,r3,418
DD,2025dal,qm,4,b1,6017
Polvi,2025dal,qm,5,b2,1833
Aas,2025dal,qm,5,b3,8575
DD,2025dal,qm,5,b1,78
ML,2025dal,qm,5,r1,4967
RV,2025dal,qm,5,r2,3492
Jp,2025dal,qm,5,r3,6146
Jp,2025dal,qm,6,r3,4786
Aas,2025dal,qm,6,b3,10260
DD,2025dal,qm,6,b1,10291
ML,2025dal,qm,6,r1,302
RV,2025dal,qm,6,r2,6909
Polvi,2025dal,qm,6,b2,649
Jp,2025dal,qm,7,r3,5660
aas,2025dal,qm,7,b3,4005
DD,2025dal,qm,7,b1,9280
ML,2025dal,qm,7,r1,3297
RV,2025dal,qm,7,r2,7197
Luke,2025dal,qm,7,b2,9312
JS,2025dal,qm,4,r2,6995
Jp,2025dal,qm,8,r3,3173
DD,2025dal,qm,8,b1,4013
Aas,2025dal,qm,8,b3,7034
ML,2025dal,qm,8,r1,7048
RV,2025dal,qm,8,r2,6348
Luke,2025dal,qm,8,b2,4613
Luke,2025dal,qm,9,b2,694
Polvi,2025dal,qm,9,r3,900
DD,2025dal,qm,9,b1,1847
RV,2025dal,qm,9,r2,1678
ML,2025dal,qm,9,r1,9032
Aas,2025dal,qm,9,b3,1481
JS,2025dal,qm,1,r3,4415
Luke,2025dal,qm,10,b2,1731
DD,2025dal,qm,10,b1,179
ML,2025dal,qm,10,r1,9301
RV,2025dal,qm,10,r2,10698
Aas,2025dal,qm,10,b3,8738
Luke,2025dal,qm,11,b2,7525
Polvi,2025dal,qm,11,r3,3891
DD,2025dal,qm,11,b1,3255
