Event,Team number,Width,Length,Weight,Drivetrain,Other Drivetrain,Swerve Ratio,Drivetrain Motor,Batteries,Pickup Floor Coral,Pickup Floor Algae,How To Feed Robot,Autos,Scouting Method,comment
2025nyro,7903,31,27,0,Swerve,,o,Falcon,6,N,N,Vertical,none,"not yet, some match scouting","14 to 50 17 to 50, just drivebase"
2025nyro,8140,27,32,90,Mechanum,,x,Neo,5,N,N,Vertical,move forward and drop and just move ,some ,one of few wwirh mechinum
2025nyro,9622,25,25,105,Swerve,,o,Neo,3,N,Y,Horizontal,drives out,"pot scouting, some during match",ratio 1 to 3 and 1 to4
2025nyro,9643,1,1,1,Tank,,x,,2,Y,N,Vertical,"drive, beyond that not aure",not today ,good at defence
2025nyro,340,30,30,114,Swerve,,2,Kraken,12,Y,Y,Either,3l4,,
2025nyro,271,32,28,106,Tank,,3,Kraken,10,N,Y,Other,none,,no autos and no coral pickup at all only algae
2025nyro,250,30,30,104,Swerve,,2,Neo,6,N,N,Horizontal,has an auto but not working,,"uses pneumatics, shallow climb, gets algae from reef, coral from station"
2025nyro,229,26,26,105,Tank,,x,Neo,6,N,N,Vertical,just drive forward,,"unsure about weight, L1 and L2 coral"
2025nyro,20,29,29,114.5,Swerve,,o,Other,20,N,Y,Either,,,"uses Neos, vortexs, and krakens, unsure of ratios"
2025nyro,1511,28,31,114.1,Swerve,,3,Kraken,12,N,N,Either,,,gets coral from station 
2025nyro,10223,26.5,32.3125,80,Tank,,x,CIM,9,N,N,Horizontal,none,,kitbot
2025nyro,191,27,27,114,Swerve,,3,Kraken,6,N,Y,Horizontal,,,very busy and not many direct questions were asked
2025nyro,1518,0,0,127,Swerve,,o,Falcon,2,N,Y,Vertical,not working but if it works then it goes forwRDS,they scount matches,can score in the barge
2025nyro,2340,0,0,95,Swerve,,2,Neo,8,N,Y,Vertical,can score coRAL AND ALGEA,Google form,basic dimensions and they do whatever for their autos that their alliance needs
2025nyro,2228,28,32,114,Swerve,,2,Falcon,7,N,Y,Vertical,three autos one to three lfours,zoho forms,scores in the barge and driver is touch screen 
2025nyro,1591,27,27,115,Swerve,,3,Kraken,16,N,Y,Vertical,three one piece two and half piece and three piece,Google form,"3 auto is iffy, 2.5 is good"
2025nyro,1507,33,33,113,Swerve,,o,Kraken,9,N,Y,Vertical,one piece two piece,scouting app,
2025nyro,2010,29,29,86,Swerve,,2,Kraken,7,N,Y,Vertical,three get out of the station and score in troff,computers and spreadsheet,neat wiring
2025nyro,1787,27,27,103,Swerve,,o,Kraken,9,Y,Y,Vertical,two or three but hopefully four,scoutingpass,they have an algorithm for scouting
2025nyro,1585,27,32,107,Tank,,x,CIM,1,N,N,Vertical,one to leave ,binder,
2025nyro,1126,30,30,114.5,Swerve,,3,Neo,14,N,Y,Vertical,"2 L1right, middle left and right 1",scouting pass,
2025nyro,695,20,20,113,Swerve,,1,Kraken,9,N,N,Either,2 L4 coral,scouting pass,
2025nyro,639,30,30,114.7,Swerve,,4,Neo,8,N,Y,Vertical,none,googleform,
2025nyro,1405,29,29,114.1,Swerve,,o,Kraken,12,N,N,Vertical,idk,scouting app,don't know ratio
2025nyro,564,29,29,113,Swerve,,1,Kraken,10,N,N,Vertical,idk,Google forn,
