Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Time,Cycle Type
ER,2025nyro,qm,1,b1,8243,20.1,tc1
ER,2025nyro,qm,1,b1,8243,9.9,tc1
ER,2025nyro,qm,1,b1,8243,10.1,tc1
ER,2025nyro,qm,1,b1,8243,8.8,tc1
ER,2025nyro,qm,1,b1,8243,13.2,tc1
ER,2025nyro,qm,1,b1,8243,9,tc1
ER,2025nyro,qm,1,b1,8243,14.6,tc1
ER,2025nyro,qm,1,b1,8243,9.3,tc1
ER,2025nyro,qm,1,b1,8243,7.5,tc1
ER,2025nyro,qm,1,b1,8243,10.1,tc1
RV,2025nyro,qm,2,b2,20,13.4,tc4
RV,2025nyro,qm,2,b2,20,10.3,tc4
RV,2025nyro,qm,2,b2,20,10.4,tc4
RV,2025nyro,qm,2,b2,20,17.5,tc4
RV,2025nyro,qm,2,b2,20,10.5,tc4
RV,2025nyro,qm,2,b2,20,9.4,tc4
RV,2025nyro,qm,2,b2,20,13.9,tc4
RV,2025nyro,qm,2,b2,20,14.6,tc4
RV,2025nyro,qm,2,b2,20,14.7,tc4
RV,2025nyro,qm,1,b2,1518,25,tap
RV,2025nyro,qm,1,b2,1518,25.6,tap
np,2025nyro,qm,2,r3,6621,61.3,tc3
np,2025nyro,qm,2,r3,6621,20.5,tc3
np,2025nyro,qm,2,r3,6621,34.5,tc4
np,2025nyro,qm,1,r3,1559,,{}
er,2025nyro,qm,2,b1,3181,25.8,tc4
eg,2025nyro,qm,1,b3,340,4.1,tc4
eg,2025nyro,qm,1,b3,340,5.2,tc4
eg,2025nyro,qm,1,b3,340,13,tc3
eg,2025nyro,qm,1,b3,340,3.7,tc3
eg,2025nyro,qm,1,b3,340,5,tc3
eg,2025nyro,qm,1,b3,340,4.5,tc3
eg,2025nyro,qm,1,b3,340,8.6,tc3
eg,2025nyro,qm,1,b3,340,9.2,tc2
eg,2025nyro,qm,1,b3,340,5.1,tc2
eg,2025nyro,qm,1,b3,340,35.8,tc1
eg,2025nyro,qm,1,b3,340,0.3,tc1
eg,2025nyro,qm,1,b3,340,0.4,tc1
eg,2025nyro,qm,1,b3,340,7.4,tc4
eg,2025nyro,qm,2,b3,533,,{}
DD,2025nyro,qm,1,r2,1511,9.2,tap
DD,2025nyro,qm,1,r2,1511,37.7,tc4
DD,2025nyro,qm,1,r2,1511,9.8,tap
DD,2025nyro,qm,1,r2,1511,15.1,tc4
er,2025nyro,qm,3,b1,2340,,{}
DD,2025nyro,qm,3,r2,271,18.9,tap
jp,2025nyro,qm,3,r1,250,,{}
RV,2025nyro,qm,3,b2,3173,6.3,tc4
RV,2025nyro,qm,3,b2,3173,7.6,tc4
RV,2025nyro,qm,3,b2,3173,8.9,tc4
RV,2025nyro,qm,3,b2,3173,8,tap
RV,2025nyro,qm,3,b2,3173,6.2,tap
RV,2025nyro,qm,3,b2,3173,10,tc1
RV,2025nyro,qm,3,b2,3173,9.5,tc1
RV,2025nyro,qm,3,b2,3173,8.5,tc1
RV,2025nyro,qm,3,b2,3173,6.6,tc3
RV,2025nyro,qm,3,b2,3173,10.1,tc4
RV,2025nyro,qm,3,b2,3173,12.7,tc4
RV,2025nyro,qm,3,b2,3173,9.7,tc4
RV,2025nyro,qm,3,b2,3173,8.3,tc4
ZS,2025nyro,qm,3,r3,695,7.4,tc4
ZS,2025nyro,qm,3,r3,695,9.6,tc4
ZS,2025nyro,qm,3,r3,695,3.7,tc4
ZS,2025nyro,qm,3,r3,695,5.9,tc4
ZS,2025nyro,qm,3,r3,695,10.6,tc4
ZS,2025nyro,qm,3,r3,695,11.1,tc4
ZS,2025nyro,qm,3,r3,695,9.5,tc4
ZS,2025nyro,qm,3,r3,695,8.7,tc4
ZS,2025nyro,qm,3,r3,695,7.8,tc4
ZS,2025nyro,qm,3,r3,695,12,tc4
ZS,2025nyro,qm,3,r3,695,9.5,tc4
eg,2025nyro,qm,3,b3,9622,,{}
jp,2025nyro,qm,1,r1,8140,33.8,tc2
jp,2025nyro,qm,1,r1,8140,23.1,tc2
DD,2025nyro,qm,4,r2,5881,110.6,tc2
JS,2025nyro,qm,4,b2,7903,,{}
jp,2025nyro,qm,4,r1,3044,12.7,tc4
jp,2025nyro,qm,4,r1,3044,20.6,tc4
jp,2025nyro,qm,4,r1,3044,20.6,tc4
jp,2025nyro,qm,4,r1,3044,10.4,tc4
