Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
DD,2025nytr,qm,1,b2,6621,0,15.5,tc2
DD,2025nytr,qm,1,b2,6621,1,13.6,tc2
DD,2025nytr,qm,1,b2,6621,2,6.6,tc2
DD,2025nytr,qm,1,b2,6621,3,6.4,tc2
DD,2025nytr,qm,1,b2,6621,4,11.3,tc1
DD,2025nytr,qm,1,b2,6621,5,16.7,tc1
DD,2025nytr,qm,1,b2,6621,6,3.8,tc1
DD,2025nytr,qm,1,b2,6621,7,5.6,tc1
DD,2025nytr,qm,1,b2,6621,8,7.5,tc1
DD,2025nytr,qm,1,b2,6621,9,9.8,tc3
DD,2025nytr,qm,1,b2,6621,10,16,tc3
DD,2025nytr,qm,1,b2,6621,11,8.1,tc2
eg,2025nytr,qm,1,b3,3950,0,7.3,tc4
eg,2025nytr,qm,1,b3,3950,1,9.7,tc3
eg,2025nytr,qm,1,b3,3950,2,5.3,tc3
eg,2025nytr,qm,1,b3,3950,3,8.4,tc2
eg,2025nytr,qm,1,b3,3950,4,19.5,tc4
eg,2025nytr,qm,1,b3,3950,5,58.1,tc3
eg,2025nytr,qm,1,b3,3950,6,11.2,tc4
eg,2025nytr,qm,1,b3,3950,7,7.2,tc4
ap,2025nytr,qm,1,r3,3044,0,12.1,tc4
ap,2025nytr,qm,1,r3,3044,1,11.2,tc4
ap,2025nytr,qm,1,r3,3044,2,10.9,tc4
ap,2025nytr,qm,1,r3,3044,3,7.1,tc3
ap,2025nytr,qm,1,r3,3044,4,16.3,tc3
ap,2025nytr,qm,1,r3,3044,5,31.7,tc3
ap,2025nytr,qm,1,r3,3044,6,20.8,tc3
ap,2025nytr,qm,1,r3,3044,7,7.6,tc2
ap,2025nytr,qm,1,r3,3044,8,6.4,tc2
JP,2025nytr,qm,1,r2,7605,0,10.4,tc2
JP,2025nytr,qm,1,r2,7605,1,16.7,tc2
JP,2025nytr,qm,1,r2,7605,2,11,tc2
JP,2025nytr,qm,1,r2,7605,3,12.5,tc4
JP,2025nytr,qm,1,r2,7605,4,18.2,tc4
JP,2025nytr,qm,1,r2,7605,5,13.2,tc4
JP,2025nytr,qm,1,r2,7605,6,13.1,tc4
J,2025nytr,qm,1,r1,639,0,7,tc1
J,2025nytr,qm,1,r1,639,1,8.2,tc1
J,2025nytr,qm,1,r1,639,2,11.6,tc1
J,2025nytr,qm,1,r1,639,3,65.3,tc3
J,2025nytr,qm,1,r1,639,4,0.5,tc3
J,2025nytr,qm,1,r1,639,5,6.2,tc1
ML,2025nytr,qm,1,b1,358,0,43.2,tc4
ML,2025nytr,qm,1,b1,358,1,59,tc3
ML,2025nytr,qm,1,b1,358,2,19.8,tc2
eg,2025nytr,qm,2,b3,9468,0,0.1,tc4
eg,2025nytr,qm,2,b3,9468,1,43.7,tc2
eg,2025nytr,qm,2,b3,9468,2,17.4,tc4
eg,2025nytr,qm,2,b3,9468,3,1.6,tc2
JP,2025nytr,qm,2,r2,4458,0,1.5,tc4
JP,2025nytr,qm,2,r2,4458,1,16.7,tan
JP,2025nytr,qm,2,r2,4458,2,8.1,tc4
JP,2025nytr,qm,2,r2,4458,3,9.1,tc4
JP,2025nytr,qm,2,r2,4458,4,15.3,tc1
JP,2025nytr,qm,2,r2,4458,5,6.3,tc4
JP,2025nytr,qm,2,r2,4458,6,34.1,tc4
JP,2025nytr,qm,2,r2,4458,7,22.1,tc1
JP,2025nytr,qm,2,r2,4458,8,12.3,tc1
J,2025nytr,qm,2,r1,3173,0,,{}
AL,2025nytr,qm,2,r3,6401,0,26.8,tc3
AL,2025nytr,qm,2,r3,6401,1,14.5,tc3
DD,2025nytr,qm,2,b2,1796,0,12.1,tap
DD,2025nytr,qm,2,b2,1796,1,4.9,tc4
DD,2025nytr,qm,2,b2,1796,2,11.4,tc2
DD,2025nytr,qm,2,b2,1796,3,4.7,tap
DD,2025nytr,qm,2,b2,1796,4,10.2,tc3
DD,2025nytr,qm,2,b2,1796,5,15.3,tan
DD,2025nytr,qm,2,b2,1796,6,8.8,tc3
DD,2025nytr,qm,2,b2,1796,7,6.3,tc4
DD,2025nytr,qm,2,b2,1796,8,5.6,tc3
DD,2025nytr,qm,2,b2,1796,9,27.2,tap
ML,2025nytr,qm,2,b1,1468,0,5.4,tc4
ML,2025nytr,qm,2,b1,1468,1,7.7,tc4
ML,2025nytr,qm,2,b1,1468,2,13.8,tan
ML,2025nytr,qm,2,b1,1468,3,20.5,tan
ML,2025nytr,qm,2,b1,1468,4,9.1,tc4
ML,2025nytr,qm,2,b1,1468,5,20.5,tc4
ML,2025nytr,qm,2,b1,1468,6,10,tc3
ML,2025nytr,qm,2,b1,1468,7,11,tc4
ML,2025nytr,qm,2,b1,1468,8,18,tc2
AL,2025nytr,qm,3,r3,3171,0,14.6,tc4
AL,2025nytr,qm,3,r3,3171,1,13.1,tc4
AL,2025nytr,qm,3,r3,3171,2,15.8,tc4
AL,2025nytr,qm,3,r3,3171,3,13,tc4
AL,2025nytr,qm,3,r3,3171,4,12,tc4
AL,2025nytr,qm,3,r3,3171,5,13.9,tc4
AL,2025nytr,qm,3,r3,3171,6,15.5,tc4
eg,2025nytr,qm,3,b3,7718,0,14.5,tc1
