Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Teleop Note Passes,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment
eg,2024nytr,qm,1,r3,1559,24,0,71,6,"0.1,8.5,18.5","93,117,118","117,115",0,0,0,0,0,0,0,0,0,0,"broke. note halfway through, disabling it"
TMS,2024nytr,qm,1,b3,3360,13,0,"98,123","7,4","13.6,7.9,10.8,1.3,4.5,5.7,8.6,0.6,1.6,13.1,22.8,58.2,1","3,3,4,3,98,98,a,a,a,a,a,28,27",,5,0,1,0,0,0,0,0,0,0,
JA,2024nytr,qm,1,b2,229,37,0,,,,,,0,0,0,0,0,1,0,0,0,0,didn't move
Ih,2024nytr,qm,1,r1,3951,24,0,118,9,"18.3,36.5,23.2,28.2,7.7,19.9,0.4,5.6","45,21,46,119,119,a,a,a",,3,0,1,1,1,0,0,0,0,0,
mrg,2024nytr,qm,1,r2,5149,60,0,,,,,,0,0,0,0,1,0,0,0,0,0,
hw,2024nytr,qm,1,b1,1880,25,0,121,,"53.9,53.4","75,75","98,74",0,0,0,1,0,0,0,0,0,0,
TMS,2024nytr,qm,2,b3,1601,49,0,,,,,98,0,0,1,0,1,0,0,0,0,0,Shooter seemed to stop working mid match 
Ih,2024nytr,qm,2,r1,5590,60,0,,,"5.7,6.6,18.6,54.6","118,119,166,95",,0,0,1,0,0,0,1,0,0,0,n
eg,2024nytr,qm,2,r3,1591,36,0,"94,118,93,140,115","3,6,9,2,5","0.1,10.7,7.1,11.9,4.9,3.3,11.2,34.3,15,16.5","a,117,116,118,69,46,116,116,94,93",,1,0,0,0,0,0,0,0,0,0,"broke a note, got rid of it quik"
mrg,2024nytr,qm,2,r2,5993,24,0,71,,,,118,0,0,1,0,1,0,0,0,0,0,
JA,2024nytr,qm,2,b2,333,13,0,98,,"7.2,31.8,23.6,24.4","74,a,a,a",,3,0,1,1,0,0,0,0,0,0,
hw,2024nytr,qm,2,b1,6911,1,0,,1,"16.1,36.1,5.7,47.8","99,99,123,74","98,98",0,0,1,0,0,0,0,0,0,0,
Ih,2024nytr,qm,3,r1,5016,36,0,144,,"25.6,28.1,45.4","119,119,95",119,0,0,1,0,1,0,0,0,0,0,very slow and shaky
eg,2024nytr,qm,3,r3,7030,60,0,,,,,94,0,0,0,1,0,0,0,0,0,1,"horendus driver, tried to play d but just got farmed for fouls"
TMS,2024nytr,qm,3,b3,5881,13,0,"98,124","4,1","24.6,86.3","74,98","98,98,98,98,98",0,0,1,0,0,0,0,0,0,0,
hw,2024nytr,qm,3,b1,3181,25,0,121,"7,8",,,,0,0,1,0,0,0,0,0,0,1,shot doesn't work since first auto shoot
JA,2024nytr,qm,3,b2,6648,13,0,,,,,,0,0,0,0,1,0,0,0,0,0,
lg,2024nytr,qm,3,r2,1493,24,0,118,6,"7.9,8.7,7.9,32.6,17.1,15.2,14,23,7.3","a,a,a,93,117,117,93,117,93",,3,0,0,1,0,0,0,0,0,0,
mrg,2024nytr,qm,4,r2,1796,36,0,118,"6,3","24.5,3.5,16.3,12.4,2.2,13.4,11.4,24.3","114,185,46,114,114,141,210,a",,1,5,1,0,0,0,0,0,0,0,
Ih,2024nytr,qm,4,r1,9750,12,0,,,"10.6,15,11.7,20.1,44.8,27.1,0.5,1.1,0.6","22,46,46,45,46,a,a,a,a",,4,0,1,0,1,0,0,0,0,0,
