ID,Match Level,Match #,Team #,Auto Miss Location
5815,qm,1,108,284
5816,qm,1,108,44
5817,qm,1,1744,237
5818,qm,1,179,198
5819,qm,2,2383,40
5820,qm,2,2383,180
5821,qm,2,3173,239
5822,qm,2,3627,1
5823,qm,2,3932,29
5824,qm,3,4206,163
5825,qm,3,4206,208
5826,qm,3,5472,217
5827,qm,3,5472,240
5828,qm,3,5557,128
5829,qm,3,5842,11
5830,qm,4,5872,255
5831,qm,4,6300,84
5832,qm,4,6317,96
5833,qm,4,6317,148
5834,qm,4,6743,243
5835,qm,5,7652,95
5836,qm,5,7652,181
5837,qm,5,806,155
5838,qm,5,806,171
5839,qm,5,8752,52
5840,qm,6,8775,67
5841,qm,6,8817,237
5842,qm,6,8861,137
5843,qm,6,9402,48
5844,qm,6,9404,107
5845,qm,6,9404,199
5846,qm,7,9693,282
5847,qm,7,9693,70
5848,qm,7,9725,190
5849,qm,7,9725,65
5850,qm,7,108,1
5851,qm,7,108,73
5852,qm,7,1744,29
5853,qm,8,179,17
5854,qm,8,3173,58
5855,qm,9,3627,160
5856,qm,9,4206,268
5857,qm,9,4206,74
5858,qm,10,5472,43
5859,qm,10,5557,258
5860,qm,10,5842,285
5861,qm,10,5842,230
5862,qm,10,5872,127
5863,qm,10,59,53
5864,qm,10,59,130
5865,qm,10,6300,96
5866,qm,11,6317,167
5867,qm,11,6317,213
5868,qm,11,6743,167
5869,qm,11,694,224
5870,qm,11,694,244
5871,qm,11,744,266
5872,qm,11,744,240
5873,qm,11,7652,52
5874,qm,11,7652,102
5875,qm,12,8775,224
5876,qm,12,8817,79
5877,qm,12,8817,124
5878,qm,13,9402,235
5879,qm,13,9402,119
5880,qm,13,9404,239
5881,qm,13,9404,237
5882,qm,13,9693,8
5883,qm,13,9693,244
5884,qm,13,9725,152
5885,qm,14,1523,117
5886,qm,14,1523,263
5887,qm,14,179,75
5888,qm,14,179,76
5889,qm,14,2152,242
5890,qm,14,2152,73
5891,qm,15,3173,20
5892,qm,15,3173,208
5893,qm,15,3390,84
5894,qm,15,3627,151
5895,qm,15,3932,177
5896,qm,16,4206,204
5897,qm,16,4206,47
5898,qm,16,4388,108
5899,qm,16,5410,43
5900,qm,16,5472,247
5901,qm,16,5472,123
5902,qm,16,5557,55
5903,qm,17,5872,191
5904,qm,17,5872,253
5905,qm,17,59,86
5906,qm,17,59,252
5907,qm,17,6300,41
5908,qm,17,6317,155
5909,qm,17,6686,247
5910,qm,17,6686,79
5911,qm,17,6743,195
5912,qm,18,694,138
5913,qm,18,744,17
5914,qm,18,7652,285
5915,qm,18,7652,257
5916,qm,18,7833,220
5917,qm,19,8775,160
5918,qm,19,8817,136
5919,qm,19,8817,41
