Event,Match #,Alliance,Total Score,Auto Total Score,Taxi Score,Auto Speaker Scores,Auto Amp Scores,Teleop Total Note Score,Teleop Unamped Speaker Score,Teleop Amped Speaker Score,Teleop Amp Score,Total Stage Score,Final Status Score,Trap Score,Harmony Score,Total Foul Score,Fouls Score,Tech Fouls Score
2024flwp,1,red,22,9,4,5,0,5,4,0,1,3,3,0,0,5,0,5
2024flwp,1,blue,41,14,4,10,0,17,16,0,1,5,5,0,0,5,0,5
2024flwp,2,red,7,2,2,0,0,0,0,0,0,0,0,0,0,5,0,5
2024flwp,2,blue,75,17,2,15,0,17,16,0,1,4,4,0,0,37,2,35
2024flwp,3,red,28,4,4,0,0,22,22,0,0,2,2,0,0,0,0,0
2024flwp,3,blue,58,19,4,15,0,34,16,10,8,5,5,0,0,0,0,0
2024flwp,4,red,61,29,4,25,0,27,12,10,5,5,5,0,0,0,0,0
2024flwp,4,blue,41,19,4,15,0,8,8,0,0,4,4,0,0,10,0,10
2024flwp,5,red,28,12,2,10,0,11,10,0,1,5,5,0,0,0,0,0
2024flwp,5,blue,40,7,2,5,0,26,24,0,2,2,2,0,0,5,0,5
2024flwp,6,red,45,22,2,20,0,16,6,5,5,7,7,0,0,0,0,0
2024flwp,6,blue,36,9,4,5,0,22,14,5,3,5,5,0,0,0,0,0
2024flwp,7,red,19,0,0,0,0,13,12,0,1,1,1,0,0,5,0,5
2024flwp,7,blue,75,21,6,15,0,29,16,10,3,5,5,0,0,20,0,20
2024flwp,8,red,58,15,0,15,0,31,18,10,3,2,2,0,0,10,0,10
2024flwp,8,blue,55,24,4,20,0,28,26,0,2,3,3,0,0,0,0,0
2024flwp,9,red,26,11,6,5,0,13,4,5,4,2,2,0,0,0,0,0
2024flwp,9,blue,31,9,4,5,0,20,18,0,2,2,2,0,0,0,0,0
2024flwp,10,red,25,14,4,10,0,10,6,0,4,1,1,0,0,0,0,0
2024flwp,10,blue,28,17,2,15,0,3,0,0,3,3,3,0,0,5,0,5
2024flwp,11,red,20,14,4,10,0,3,2,0,1,3,3,0,0,0,0,0
2024flwp,11,blue,35,22,2,20,0,10,10,0,0,3,3,0,0,0,0,0
2024flwp,12,red,22,2,2,0,0,15,12,0,3,5,5,0,0,0,0,0
2024flwp,12,blue,26,7,2,5,0,8,8,0,0,2,2,0,0,9,4,5
2024flwp,13,red,55,24,4,20,0,28,8,15,5,3,3,0,0,0,0,0
2024flwp,13,blue,41,24,4,20,0,14,6,5,3,3,3,0,0,0,0,0
2024flwp,14,red,41,24,4,20,0,12,10,0,2,5,5,0,0,0,0,0
2024flwp,14,blue,38,11,6,5,0,22,20,0,2,5,5,0,0,0,0,0
2024flwp,15,red,27,9,4,5,0,12,12,0,0,1,1,0,0,5,0,5
2024flwp,15,blue,29,19,4,15,0,9,6,0,3,1,1,0,0,0,0,0
2024flwp,16,red,35,9,4,5,0,14,14,0,0,5,5,0,0,7,2,5
2024flwp,16,blue,56,14,4,10,0,27,20,5,2,5,5,0,0,10,0,10
2024flwp,17,red,48,12,2,10,0,19,18,0,1,5,5,0,0,12,2,10
2024flwp,17,blue,20,2,2,0,0,18,18,0,0,0,0,0,0,0,0,0
2024flwp,18,red,38,17,2,15,0,17,16,0,1,4,4,0,0,0,0,0
2024flwp,18,blue,58,19,4,15,0,32,18,10,4,7,7,0,0,0,0,0
2024flwp,19,red,27,4,4,0,0,16,14,0,2,3,3,0,0,4,4,0
