Event,Ranking,Team #,Total Ranking Points,g424 Ranking Points,Avg Total Ranking Points,Avg Coop Ranking Points,Avg Match Score,Avg Auto Points,Avg Stage Points
2024flwp,1,179,34,1,2.83,0.25,56.92,23.42,9.25
2024flwp,2,180,26,0,2.17,0.58,49.83,17.0,5.58
2024flwp,3,6743,25,0,2.08,0.5,49.08,17.42,6.42
2024flwp,4,2383,24,1,2.0,0.33,45.25,13.08,4.75
2024flwp,5,108,23,0,1.92,0.42,50.17,20.92,3.58
2024flwp,6,5472,23,1,1.92,0.42,47.25,14.75,3.33
2024flwp,7,694,23,2,1.92,0.42,44.33,16.08,4.83
2024flwp,8,6317,23,2,1.92,0.33,47.83,17.67,5.33
2024flwp,9,4388,22,1,1.83,0.42,41.25,14.25,3.5
2024flwp,10,5557,21,0,1.75,0.33,50.58,22.92,4.83
2024flwp,11,4458,20,1,1.67,0.42,46.17,20.25,4.17
2024flwp,12,5842,20,3,1.67,0.42,37.67,16.17,4.17
2024flwp,13,8775,20,3,1.67,0.08,44.42,19.83,4.33
2024flwp,14,4206,19,1,1.58,0.17,36.5,9.58,2.67
2024flwp,15,3173,18,0,1.5,0.25,42.25,13.75,3.58
2024flwp,16,6300,17,1,1.42,0.33,45.92,16.33,5.33
2024flwp,17,2152,16,0,1.33,0.33,37.17,14.83,3.17
2024flwp,18,1744,15,0,1.25,0.58,32.58,11.33,4.58
2024flwp,19,3932,15,1,1.25,0.33,35.5,11.5,5.83
2024flwp,20,1523,15,0,1.25,0.25,38.92,11.67,4.42
2024flwp,21,59,14,0,1.17,0.42,43.33,12.5,4.33
2024flwp,22,9779,14,0,1.17,0.42,35.75,11.25,5.17
2024flwp,23,9040,14,1,1.17,0.08,30.5,9.58,2.83
2024flwp,24,806,13,2,1.08,0.33,36.0,13.0,4.83
2024flwp,25,3390,13,1,1.08,0.25,31.17,11.83,5.33
2024flwp,26,8861,12,1,1.0,0.33,28.0,11.0,3.0
2024flwp,27,5410,12,1,1.0,0.17,35.58,14.33,3.17
2024flwp,28,8817,12,1,1.0,0.17,34.25,9.58,4.33
2024flwp,29,9404,12,3,1.0,0.08,32.58,12.75,3.75
2024flwp,30,9725,12,0,1.0,0.08,31.92,9.92,4.0
2024flwp,31,9693,11,1,0.92,0.33,33.83,13.25,4.5
2024flwp,32,744,11,0,0.92,0.33,31.67,10.58,4.67
2024flwp,33,5872,11,1,0.92,0.33,30.5,9.0,3.67
2024flwp,34,6686,11,0,0.92,0.33,30.42,10.25,3.17
2024flwp,35,9402,10,2,0.83,0.33,37.83,14.0,5.33
2024flwp,36,7833,10,1,0.83,0.25,30.58,11.67,2.75
2024flwp,37,348,10,0,0.83,0.17,29.83,9.67,2.25
2024flwp,38,7652,8,0,0.67,0.17,36.08,10.33,4.67
2024flwp,39,3627,7,0,0.58,0.25,25.83,7.0,3.58
